key,year,bin,id,dom_ec,rank,power,group
1,2022,1,PBO,0.0288105140018265,1,0.971189485998173,1
2,2022,1,OPO,0.0290686282170287,2,0.970931371782971,1
3,2022,1,GPO,0.0355895013170441,3,0.964410498682956,1
4,2022,1,BOB,0.0427353219950449,4,0.957264678004955,1
5,2022,1,POP,0.0532621514423808,5,0.946737848557619,1
6,2022,1,PGG,0.0929521960746114,6,0.907047803925389,1
7,2022,1,BBB,0.106593542224269,7,0.893406457775731,1
8,2022,1,OOO,0.108396214984967,8,0.891603785015033,1
9,2022,1,GGP,0.109442246937205,9,0.890557753062795,1
10,2022,1,PPO,0.164165527872274,10,0.835834472127726,1
11,2022,1,OPP,0.228984154933349,11,0.771015845066651,1
12,2022,2,PBO,0.0315049123176133,1,0.968495087682387,1
13,2022,2,OPO,0.031660803105981,2,0.968339196894019,1
14,2022,2,GPO,0.0373378657786182,3,0.962662134221382,1
15,2022,2,BOB,0.0397662846750497,4,0.96023371532495,1
16,2022,2,BBB,0.0620938954310969,5,0.937906104568903,1
17,2022,2,OOO,0.065896896703127,6,0.934103103296873,1
18,2022,2,PGG,0.0734064276729094,7,0.926593572327091,1
19,2022,2,POP,0.115559061586341,8,0.884440938413659,1
20,2022,2,GGP,0.12317867357883,9,0.87682132642117,1
21,2022,2,PPO,0.173834114828514,10,0.826165885171486,1
22,2022,2,OPP,0.24576106432192,11,0.75423893567808,1
23,2022,3,BOB,0.0396947863649227,1,0.960305213635077,1
24,2022,3,GPO,0.0397002088462837,2,0.960299791153716,1
25,2022,3,BBB,0.0475423026209874,3,0.952457697379013,1
26,2022,3,POP,0.0547201340421426,4,0.945279865957857,1
27,2022,3,PGG,0.0863319244070331,5,0.913668075592967,1
28,2022,3,OOO,0.0890818158101064,6,0.910918184189894,1
29,2022,3,GGP,0.10956912232173,7,0.89043087767827,1
30,2022,3,OPO,0.111668692982355,8,0.888331307017645,1
31,2022,3,PPO,0.149133143325666,9,0.850866856674334,1
32,2022,3,OPP,0.272557869278774,10,0.727442130721226,1
33,2022,4,GPO,0.0361301628821971,1,0.963869837117803,1
34,2022,4,BOB,0.0362574511968841,2,0.963742548803116,1
35,2022,4,BBB,0.0518873193212969,3,0.948112680678703,1
36,2022,4,POP,0.0633439214449922,4,0.936656078555008,1
37,2022,4,PGG,0.0885611552470774,5,0.911438844752923,1
38,2022,4,OPO,0.0939029364842879,6,0.906097063515712,1
39,2022,4,PPO,0.096342009525926,7,0.903657990474074,1
40,2022,4,OOO,0.109408525892462,8,0.890591474107538,1
41,2022,4,GGP,0.163686150540622,9,0.836313849459378,1
42,2022,4,OPP,0.260480367464255,10,0.739519632535745,1
43,2022,5,BOB,0.030303412262283,1,0.969696587737717,1
44,2022,5,GPO,0.0324430270527467,2,0.967556972947253,1
45,2022,5,POP,0.0328757735338185,3,0.967124226466181,1
46,2022,5,BBB,0.033717114428517,4,0.966282885571483,1
47,2022,5,OOO,0.079648851398081,5,0.920351148601919,1
48,2022,5,OPO,0.0842032874114945,6,0.915796712588506,1
49,2022,5,GGP,0.101419777299821,7,0.898580222700179,1
50,2022,5,PBO,0.109763373797597,8,0.890236626202403,1
51,2022,5,PPO,0.113964192463135,9,0.886035807536865,1
52,2022,5,PGG,0.138773260696854,10,0.861226739303146,1
53,2022,5,OPP,0.242887929655653,11,0.757112070344347,1
54,2022,6,GPO,0.0235227290904352,1,0.976477270909565,1
55,2022,6,BOB,0.0236677729997823,2,0.976332227000218,1
56,2022,6,BBB,0.0299586583453795,3,0.970041341654621,1
57,2022,6,POP,0.0362885572235885,4,0.963711442776412,1
58,2022,6,OOO,0.0772760748818837,5,0.922723925118116,1
59,2022,6,PGG,0.0773051411883495,6,0.922694858811651,1
60,2022,6,OPO,0.0816258456006719,7,0.918374154399328,1
61,2022,6,GGP,0.107092203419952,8,0.892907796580048,1
62,2022,6,PBO,0.137620199281663,9,0.862379800718337,1
63,2022,6,PPO,0.17145081884764,10,0.82854918115236,1
64,2022,6,OPP,0.234191999120654,11,0.765808000879346,1
65,2022,7,BOB,0.0368068203029815,1,0.963193179697019,1
66,2022,7,GPO,0.0370772473522057,2,0.962922752647794,1
67,2022,7,POP,0.0519499936759369,3,0.948050006324063,1
68,2022,7,BBB,0.0556022382110447,4,0.944397761788955,1
69,2022,7,PBO,0.0756681116578307,5,0.924331888342169,1
70,2022,7,OPO,0.0799556403262139,6,0.920044359673786,1
71,2022,7,PGG,0.109077141951505,7,0.890922858048495,1
72,2022,7,PPO,0.119785748733572,8,0.880214251266428,1
73,2022,7,GGP,0.139206728893105,9,0.860793271106895,1
74,2022,7,OPP,0.294870328895604,10,0.705129671104396,1
75,2022,8,BOB,0.0447096172261052,1,0.955290382773895,1
76,2022,8,GPO,0.044828279155504,2,0.955171720844496,1
77,2022,8,BBB,0.0598624027467334,3,0.940137597253267,1
78,2022,8,POP,0.0601118929895749,4,0.939888107010425,1
79,2022,8,PBO,0.0784698586669922,5,0.921530141333008,1
80,2022,8,OPO,0.0871988678964108,6,0.912801132103589,1
81,2022,8,PGG,0.100923918664029,7,0.899076081335971,1
82,2022,8,GGP,0.118388907641423,8,0.881611092358577,1
83,2022,8,PPO,0.132164829266176,9,0.867835170733824,1
84,2022,8,OPP,0.273341425747051,10,0.726658574252949,1
85,2022,9,GPO,0.0284568014504885,1,0.971543198549512,1
86,2022,9,BOB,0.0303959880172319,2,0.969604011982768,1
87,2022,9,POP,0.0363204435907506,3,0.963679556409249,1
88,2022,9,PBO,0.0443909402148546,4,0.955609059785145,1
89,2022,9,BBB,0.0483186812176656,5,0.951681318782334,1
90,2022,9,OPO,0.080650189570804,6,0.919349810429196,1
91,2022,9,PGG,0.0930357830146891,7,0.906964216985311,1
92,2022,9,PPO,0.118464922641,8,0.881535077358999,1
93,2022,9,OOO,0.134056030843425,9,0.865943969156575,1
94,2022,9,GGP,0.159747934880392,10,0.840252065119608,1
95,2022,9,OPP,0.226162284558698,11,0.773837715441302,1
96,2022,10,GPO,0.037305330881289,1,0.962694669118711,1
97,2022,10,BOB,0.0387741579649846,2,0.961225842035015,1
98,2022,10,BBB,0.0462675725239543,3,0.953732427476046,1
99,2022,10,POP,0.0484796130795043,4,0.951520386920496,1
100,2022,10,PBO,0.0565483300996951,5,0.943451669900305,1
101,2022,10,PGG,0.0692673973217616,6,0.930732602678238,1
102,2022,10,OPO,0.0762164053160829,7,0.923783594683917,1
103,2022,10,PPO,0.0969313378698522,8,0.903068662130148,1
104,2022,10,OOO,0.108947594195303,9,0.891052405804697,1
105,2022,10,GGP,0.180473061569658,10,0.819526938430342,1
106,2022,10,OPP,0.240789199177915,11,0.759210800822085,1
107,2022,11,GPO,0.0425164626495949,1,0.957483537350405,1
108,2022,11,BOB,0.0431380799805189,2,0.956861920019481,1
109,2022,11,BBB,0.0598241408349559,3,0.940175859165044,1
110,2022,11,POP,0.0610060310502405,4,0.93899396894976,1
111,2022,11,PBO,0.067964355008312,5,0.932035644991688,1
112,2022,11,OPO,0.0827558904329613,6,0.917244109567039,1
113,2022,11,OOO,0.111443803727662,7,0.888556196272338,1
114,2022,11,PPO,0.119548876684052,8,0.880451123315948,1
115,2022,11,GGP,0.17004729036623,9,0.82995270963377,1
116,2022,11,OPP,0.241755069265473,10,0.758244930734527,1
117,2022,12,GPO,0.0428538830336346,1,0.957146116966365,1
118,2022,12,BOB,0.0445099169304414,2,0.955490083069559,1
119,2022,12,BBB,0.0587975525942997,3,0.9412024474057,1
120,2022,12,PBO,0.0670956187471269,4,0.932904381252873,1
121,2022,12,POP,0.0922511766455268,5,0.907748823354473,1
122,2022,12,OPO,0.0974166207321604,6,0.90258337926784,1
123,2022,12,PPO,0.0974166615360053,7,0.902583338463995,1
124,2022,12,OOO,0.103618737581692,8,0.896381262418308,1
125,2022,12,GGP,0.163551711644847,9,0.836448288355153,1
126,2022,12,OPP,0.232488120554266,10,0.767511879445734,1
127,2022,13,BOB,0.0325630375972754,1,0.967436962402725,1
128,2022,13,BBB,0.0431662152004044,2,0.956833784799596,1
129,2022,13,GPO,0.0452717739894595,3,0.954728226010541,1
130,2022,13,PBO,0.0503545321888681,4,0.949645467811132,1
131,2022,13,OPO,0.0659953025926861,5,0.934004697407314,1
132,2022,13,PPO,0.0720620089302337,6,0.927937991069766,1
133,2022,13,OOO,0.0796877974073342,7,0.920312202592666,1
134,2022,13,POP,0.095019864295133,8,0.904980135704867,1
135,2022,13,GGP,0.160295889455481,9,0.839704110544519,1
136,2022,13,PGG,0.174710397763446,10,0.825289602236554,1
137,2022,13,OPP,0.180873180579678,11,0.819126819420322,1
138,2022,14,GPO,0.0374552022039607,1,0.962544797796039,1
139,2022,14,BOB,0.0383291029876555,2,0.961670897012344,1
140,2022,14,PBO,0.0606654607294251,3,0.939334539270575,1
141,2022,14,POP,0.0625228853082126,4,0.937477114691787,1
142,2022,14,BBB,0.0654047231971006,5,0.934595276802899,1
143,2022,14,OPO,0.0799224861574446,6,0.920077513842555,1
144,2022,14,PPO,0.0809735003484385,7,0.919026499651561,1
145,2022,14,OOO,0.0888693129750846,8,0.911130687024915,1
146,2022,14,PGG,0.141802185351115,9,0.858197814648885,1
147,2022,14,GGP,0.161660057753238,10,0.838339942246762,1
148,2022,14,OPP,0.182395082988325,11,0.817604917011675,1
149,2022,15,BBB,0.0363105144087337,1,0.963689485591266,1
150,2022,15,POP,0.0372550172961548,2,0.962744982703845,1
151,2022,15,OOO,0.0506297062055808,3,0.949370293794419,1
152,2022,15,PBO,0.0508382990568576,4,0.949161700943142,1
153,2022,15,PPO,0.0514510472730473,5,0.948548952726953,1
154,2022,15,OPO,0.0578039751773462,6,0.942196024822654,1
155,2022,15,GGP,0.125625119456783,7,0.874374880543217,1
156,2022,15,PGG,0.152031768128554,8,0.847968231871446,1
157,2022,15,BOB,0.167868723000888,9,0.832131276999112,1
158,2022,15,OPP,0.270185829996055,10,0.729814170003945,1
159,2022,16,POP,0.0345516220831871,1,0.965448377916813,1
160,2022,16,BBB,0.0347720199765824,2,0.965227980023418,1
161,2022,16,PPO,0.0420547614908514,3,0.957945238509149,1
162,2022,16,OOO,0.0444192387087509,4,0.955580761291249,1
163,2022,16,OPO,0.0585477702636902,5,0.94145222973631,1
164,2022,16,PBO,0.0894090132464062,6,0.910590986753594,1
165,2022,16,GGP,0.12181747171913,7,0.87818252828087,1
166,2022,16,PGG,0.137892958007031,8,0.862107041992969,1
167,2022,16,BOB,0.17121765335254,9,0.82878234664746,1
168,2022,16,OPP,0.265317491151831,10,0.734682508848169,1
169,2022,17,BBB,0.0257497166260702,1,0.97425028337393,1
170,2022,17,OOO,0.0308520561028198,2,0.96914794389718,1
171,2022,17,OPO,0.044509907269565,3,0.955490092730435,1
