"","date","perturbation","band_id","sex","id","weight1","weight2","weight","culmen_width","bc"
"1","2021-04-05","capture1_start","BB1154","","OGO",259.17,144.78,114.4,12.9,5.75396892051904
"2","2021-05-19","capture3_removal1","BB1154","","OGO",260.68,145.77,114.9,13,5.95749868772813
"3","2021-06-05","capture4_removal2","BB1154","","OGO",259.37,145.79,113.6,13.5,3.17514752377347
"4","2021-06-23","capture5_removal3","BB1154","","OGO",258.42,146.49,111.9,12.3,5.03279031726462
"5","2021-07-08","capture7_startshort","BB1154","F","OGO",255.6,146.4,109.2,13.1,-0.0389715450628034
"6","2021-04-05","capture1_start","BB1155","","PPP",247.37,146.16,101.2,12.4,-5.96367991552631
"7","2021-05-19","capture3_removal1","BB1155","","PPP",252.87,146.69,106.2,12.2,-0.370739449944446
"8","2021-06-05","capture4_removal2","BB1155","","PPP",248.05,145.51,102.5,12.6,-5.25662038110816
"9","2021-06-23","capture5_removal3","BB1155","","PPP",243.4,145.67,97.7,12.5,-9.76015014831723
"10","2021-07-08","capture7_startshort","BB1155","M","PPP",240.7,145.6,95.1,12.4,-12.0636799155263
"11","2021-04-05","capture1_start","BB1156","","GOP",258.68,145.61,113.1,13.8,1.78573682540069
"12","2021-05-19","capture3_removal1","BB1156","","GOP",262.72,146.35,116.4,12.9,7.75396892051905
"13","2021-06-05","capture4_removal2","BB1156","","GOP",257.72,145.27,112.5,13,3.55749868772812
"14","2021-06-23","capture5_removal3","BB1156","","GOP",255.5,146.92,108.6,13.7,-2.41779294180838
"15","2021-07-08","capture7_startshort","BB1156","M","GOP",253.53,145.68,107.9,13.3,-1.93191201064466
"16","2021-04-05","capture1_start","BB1158","","OBB",256.28,146.16,110.1,12.3,3.23279031726461
"17","2021-05-19","capture3_removal1","BB1158","","OBB",257.68,146.94,110.7,12.8,2.35043915330998
"18","2021-06-05","capture4_removal2","BB1158","","OBB",256.28,146.55,109.7,13.1,0.461028454937197
"19","2021-06-23","capture5_removal3","BB1158","","OBB",259.78,147.32,112.5,12.9,3.85396892051905
"20","2021-07-08","capture7_startshort","BB1158","M","OBB",255.46,146.46,109,13,0.0574986877281211
"21","2021-04-05","capture1_start","BB1159","","GOO",251.76,145.45,106.3,13.1,-2.93897154506281
"22","2021-05-19","capture3_removal1","BB1159","","GOO",259.21,145.33,113.9,13,4.95749868772813
"23","2021-06-05","capture4_removal2","BB1159","","GOO",259.72,146.72,113,13.4,2.87161775656441
"24","2021-06-23","capture5_removal3","BB1159","","GOO",259.89,146.15,113.7,13.4,3.57161775656441
"25","2021-07-08","capture7_startshort","BB1159","M","GOO",255.04,145.71,109.3,12.6,1.54337961889183
"26","2021-04-05","capture1_start","BB1218","","PBO",264.51,145.75,118.8,11,15.7869033435467
