year,date,trial,type,focalrank,capture,capture_date,bin_prior,bin_post
2021,2021-04-27,0,introduction,na,1,2021-04-27,na,na
2021,2021-05-19,1,removal,top,2,2021-05-19,2,3
2021,2021-05-28,1,reintroduction,top,na,2021-05-28,4,5
2021,2021-06-05,2,removal,top,3,2021-06-05,6,7
2021,2021-06-14,2,reintroduction,top,na,2021-06-14,8,9
2021,2021-06-23,3,removal,top,4,2021-06-23,10,11
2021,2021-07-02,3,reintroduction,top,na,2021-07-02,12,13
2021,2021-07-05,na,end,top,5,2021-07-05,14,na
2022,2022-01-19,0,introduction,na,1,2022-01-19,na,1
2022,2022-01-29,1,removal,top,2,2022-01-29,2,3
2022,2022-02-07,1,reintroduction,top,na,2022-02-07,4,5
2022,2022-02-15,2,removal,middle,3,2022-02-15,6,7
2022,2022-02-24,2,reintroduction,middle,na,2022-02-24,8,9
2022,2022-03-04,3,removal,middle,4,2022-03-04,10,11
2022,2022-03-14,3,reintroduction,middle,na,2022-03-14,12,13
2022,2022-03-22,4,removal,top,5,2022-03-22,14,15
2022,2022-03-31,4,reintroduction,top,na,2022-03-31,16,17
2022,2022-04-08,5,removal,bottom,6,2022-04-08,18,19
2022,2022-04-17,5,reintroduction,bottom,na,2022-04-17,20,21
2022,2022-04-25,6,removal,top,7,2022-04-25,22,23
2022,2022-05-04,6,reintroduction,top,na,2022-05-04,24,25
2022,2022-05-12,na,end,top,8,2022-05-12,26,na
