"","actor","subject","bin","n.aggXbin"
"1","BBB","BOB",0,31
"2","BBB","BOB",1,35
"3","BBB","BOB",5,5
"4","BBB","BOB",6,1
"5","BBB","BOB",7,2
"6","BBB","BOB",8,2
"7","BBB","GGG",0,3
"8","BBB","GGG",1,7
"9","BBB","GGG",4,8
"10","BBB","GGG",5,2
"11","BBB","GGG",6,2
"12","BBB","GGG",7,4
"13","BBB","GGG",8,4
"14","BBB","GGG",9,5
"15","BBB","GGG",10,6
"16","BBB","GGG",11,4
"17","BBB","GGG",12,6
"18","BBB","GGG",13,3
"19","BBB","GGO",0,10
"20","BBB","GGO",1,9
"21","BBB","GGO",4,1
"22","BBB","GGO",5,1
"23","BBB","GGO",6,1
"24","BBB","GGO",7,9
"25","BBB","GGO",8,13
"26","BBB","GGO",9,6
"27","BBB","GGO",10,4
"28","BBB","GGO",11,10
"29","BBB","GGO",12,12
"30","BBB","GGO",13,4
"31","BBB","GOO",0,10
"32","BBB","GOO",1,4
"33","BBB","GOO",4,1
"34","BBB","GOO",7,1
"35","BBB","GOO",9,1
"36","BBB","GOP",0,18
"37","BBB","GOP",1,12
"38","BBB","GOP",4,1
"39","BBB","GOP",5,1
"40","BBB","GOP",7,13
"41","BBB","GOP",8,12
"42","BBB","GOP",9,3
"43","BBB","GOP",10,8
"44","BBB","GOP",11,17
"45","BBB","GOP",12,14
"46","BBB","GOP",13,9
"47","BBB","GPG",0,11
"48","BBB","GPG",1,8
"49","BBB","GPG",8,6
"50","BBB","GPG",9,11
"51","BBB","GPG",10,6
"52","BBB","GPG",11,7
"53","BBB","GPG",12,9
"54","BBB","GPG",13,9
"55","BBB","OBB",0,5
"56","BBB","OBB",1,19
"57","BBB","OBB",4,3
"58","BBB","OBB",5,1
"59","BBB","OBB",7,1
"60","BBB","OBB",9,2
"61","BBB","OBB",11,1
"62","BBB","OGO",0,6
"63","BBB","OGO",1,10
"64","BBB","OGO",8,1
"65","BBB","OGO",9,2
"66","BBB","OOO",0,10
"67","BBB","OOO",1,13
"68","BBB","OOO",4,1
"69","BBB","OOO",5,1
"70","BBB","OOO",6,16
"71","BBB","OOO",7,17
"72","BBB","OOO",8,8
"73","BBB","OOO",9,13
"74","BBB","OOO",10,9
"75","BBB","OOO",11,11
"76","BBB","OOO",12,14
"77","BBB","OOO",13,9
"78","BBB","OOP",0,22
"79","BBB","OOP",1,19
"80","BBB","OOP",5,5
"81","BBB","OOP",6,5
"82","BBB","OOP",7,6
"83","BBB","OOP",8,8
"84","BBB","OOP",9,7
"85","BBB","OOP",10,8
"86","BBB","OOP",11,5
"87","BBB","OOP",12,7
"88","BBB","OOP",13,5
"89","BBB","OPP",0,54
"90","BBB","OPP",1,44
"91","BBB","OPP",4,1
"92","BBB","OPP",5,1
"93","BBB","OPP",12,29
"94","BBB","OPP",13,17
"95","BBB","PBB",0,13
"96","BBB","PBB",1,11
"97","BBB","PBB",4,1
"98","BBB","PBB",5,3
"99","BBB","PBB",6,6
"100","BBB","PBB",7,13
"101","BBB","PBB",8,9
"102","BBB","PBB",9,13
"103","BBB","PBB",10,5
"104","BBB","PBB",11,7
"105","BBB","PBB",12,6
"106","BBB","PBB",13,5
"107","BBB","PBO",0,7
"108","BBB","PBO",1,4
"109","BBB","PBO",4,1
"110","BBB","PBO",5,6
"111","BBB","PBO",13,1
"112","BBB","PGG",0,27
"113","BBB","PGG",1,21
"114","BBB","PGG",4,2
"115","BBB","PGG",5,3
"116","BBB","PGG",6,7
"117","BBB","PGG",7,8
"118","BBB","PGG",8,5
"119","BBB","PGG",9,14
"120","BBB","PGG",10,6
"121","BBB","PGG",11,12
"122","BBB","PGG",12,11
"123","BBB","PGG",13,3
"124","BBB","POO",0,5
"125","BBB","POO",1,12
"126","BBB","POO",6,246
"127","BBB","POO",7,65
"128","BBB","POO",8,64
"129","BBB","POO",9,30
"130","BBB","POO",10,29
"131","BBB","POO",11,26
"132","BBB","POO",12,44
"133","BBB","POO",13,21
"134","BBB","POP",0,2
"135","BBB","POP",10,1
"136","BBB","PPB",0,5
"137","BBB","PPB",1,6
"138","BBB","PPB",5,3
"139","BBB","PPB",9,2
"140","BBB","PPB",11,1
"141","BBB","PPO",0,2
"142","BBB","PPO",1,17
"143","BBB","PPO",4,1
"144","BBB","PPO",6,5
"145","BBB","PPO",7,4
"146","BBB","PPO",8,4
"147","BBB","PPO",9,3
"148","BBB","PPO",10,6
"149","BBB","PPO",11,13
"150","BBB","PPO",12,7
"151","BBB","PPO",13,5
"152","BBB","PPP",0,12
"153","BBB","PPP",1,3
"154","BBB","PPP",6,2
"155","BBB","PPP",7,10
"156","BBB","PPP",8,8
"157","BBB","PPP",9,8
"158","BBB","PPP",10,3
"159","BBB","PPP",11,12
"160","BBB","PPP",12,12
"161","BBB","PPP",13,7
"162","BOB","BBB",4,22
"163","BOB","BBB",5,20
"164","BOB","BBB",6,13
"165","BOB","BBB",7,10
"166","BOB","BBB",8,14
"167","BOB","BBB",9,8
"168","BOB","BBB",10,11
"169","BOB","BBB",11,9
"170","BOB","BBB",12,19
"171","BOB","BBB",13,12
"172","BOB","GGG",0,4
"173","BOB","GGG",1,21
"174","BOB","GGG",2,19
"175","BOB","GGG",3,8
"176","BOB","GGG",4,4
"177","BOB","GGG",5,1
"178","BOB","GGG",6,3
"179","BOB","GGG",7,8
"180","BOB","GGG",8,2
"181","BOB","GGG",9,3
"182","BOB","GGG",10,1
"183","BOB","GGG",11,5
"184","BOB","GGG",12,7
"185","BOB","GGG",13,4
"186","BOB","GGO",2,1
"187","BOB","GGO",7,1
"188","BOB","GGO",8,2
"189","BOB","GGO",9,1
"190","BOB","GGO",11,1
"191","BOB","GOO",0,9
"192","BOB","GOO",1,11
"193","BOB","GOO",3,4
"194","BOB","GOO",4,4
"195","BOB","GOO",5,3
"196","BOB","GOO",6,5
"197","BOB","GOO",7,4
"198","BOB","GOO",9,4
"199","BOB","GOO",12,11
"200","BOB","GOO",13,4
"201","BOB","GOP",0,1
"202","BOB","GOP",3,1
"203","BOB","GOP",4,1
"204","BOB","GOP",10,1
"205","BOB","GPG",8,1
"206","BOB","GPG",12,1
"207","BOB","OGO",1,2
"208","BOB","OGO",4,1
"209","BOB","OGO",8,1
"210","BOB","OGO",9,1
"211","BOB","OGO",11,1
"212","BOB","OOO",0,35
"213","BOB","OOO",1,31
"214","BOB","OOO",2,12
"215","BOB","OOO",3,14
"216","BOB","OOO",4,15
"217","BOB","OOO",5,12
"218","BOB","OOO",6,6
"219","BOB","OOO",7,13
"220","BOB","OOO",8,8
"221","BOB","OOO",9,18
"222","BOB","OOO",10,7
"223","BOB","OOO",11,26
"224","BOB","OOO",12,16
"225","BOB","OOO",13,8
"226","BOB","OOP",0,4
"227","BOB","OOP",1,1
"228","BOB","OOP",2,1
"229","BOB","OOP",3,3
"230","BOB","OOP",4,6
"231","BOB","OOP",5,1
"232","BOB","OOP",6,3
"233","BOB","OOP",7,1
"234","BOB","OOP",8,3
"235","BOB","OOP",9,1
"236","BOB","OOP",10,2
"237","BOB","OOP",11,1
"238","BOB","OPP",0,2
"239","BOB","OPP",12,60
"240","BOB","OPP",13,18
"241","BOB","PBB",0,14
"242","BOB","PBB",1,22
"243","BOB","PBB",2,7
"244","BOB","PBB",3,3
"245","BOB","PBB",4,7
"246","BOB","PBB",5,4
"247","BOB","PBB",6,2
"248","BOB","PBB",7,3
"249","BOB","PBB",8,4
"250","BOB","PBB",9,15
"251","BOB","PBB",11,14
"252","BOB","PBB",12,14
"253","BOB","PBB",13,5
"254","BOB","PBO",0,13
"255","BOB","PBO",1,10
"256","BOB","PBO",2,2
"257","BOB","PBO",3,7
"258","BOB","PBO",4,2
"259","BOB","PBO",5,1
"260","BOB","PBO",6,3
"261","BOB","PBO",9,1
"262","BOB","PBO",11,1
"263","BOB","PBO",12,14
"264","BOB","PBO",13,1
"265","BOB","PGG",0,18
"266","BOB","PGG",1,20
"267","BOB","PGG",2,15
"268","BOB","PGG",3,13
"269","BOB","PGG",4,18
"270","BOB","PGG",5,5
"271","BOB","PGG",6,1
"272","BOB","PGG",7,8
"273","BOB","PGG",8,7
"274","BOB","PGG",9,14
"275","BOB","PGG",10,6
"276","BOB","PGG",11,18
"277","BOB","PGG",12,19
"278","BOB","PGG",13,11
"279","BOB","POO",0,2
"280","BOB","POO",2,2
"281","BOB","POO",3,6
"282","BOB","POO",4,17
"283","BOB","POO",5,15
"284","BOB","POO",6,6
"285","BOB","POO",7,15
"286","BOB","POO",8,10
"287","BOB","POO",9,11
"288","BOB","POO",10,6
"289","BOB","POO",11,5
"290","BOB","POO",12,10
"291","BOB","POO",13,1
"292","BOB","POP",1,1
"293","BOB","POP",2,6
"294","BOB","POP",4,3
"295","BOB","POP",8,1
"296","BOB","PPB",0,12
"297","BOB","PPB",1,1
"298","BOB","PPB",2,1
"299","BOB","PPB",3,6
"300","BOB","PPB",4,5
"301","BOB","PPB",5,6
"302","BOB","PPB",6,6
"303","BOB","PPB",7,7
"304","BOB","PPB",8,12
"305","BOB","PPB",9,7
"306","BOB","PPB",10,5
"307","BOB","PPB",11,15
"308","BOB","PPB",12,13
"309","BOB","PPB",13,5
"310","BOB","PPO",0,2
"311","BOB","PPO",1,10
"312","BOB","PPO",2,6
"313","BOB","PPO",3,4
"314","BOB","PPO",4,19
"315","BOB","PPO",5,2
"316","BOB","PPO",6,8
"317","BOB","PPO",7,3
"318","BOB","PPO",8,1
"319","BOB","PPO",11,7
"320","BOB","PPO",12,14
"321","BOB","PPO",13,7
"322","BOB","PPP",0,2
"323","BOB","PPP",1,3
"324","BOB","PPP",3,1
"325","BOB","PPP",4,3
"326","BOB","PPP",6,1
"327","GGG","BBB",4,1
"328","GGG","BBB",5,1
"329","GGG","BBB",6,3
"330","GGG","BBB",9,2
"331","GGG","BOB",2,1
"332","GGG","BOB",3,1
"333","GGG","BOB",4,2
"334","GGG","BOB",5,10
"335","GGG","BOB",6,8
"336","GGG","BOB",7,6
"337","GGG","BOB",8,3
"338","GGG","BOB",9,7
"339","GGG","BOB",10,5
"340","GGG","GGO",6,2
"341","GGG","GGO",9,1
"342","GGG","GOO",0,2
"343","GGG","GOP",6,3
"344","GGG","GOP",10,1
"345","GGG","GPG",8,1
"346","GGG","OBB",8,1
"347","GGG","OBB",9,1
"348","GGG","OGO",12,1
"349","GGG","OOO",5,2
"350","GGG","OOO",6,1
"351","GGG","OOO",9,1
"352","GGG","OOO",10,1
"353","GGG","OOP",2,7
"354","GGG","OOP",3,2
"355","GGG","OOP",4,14
"356","GGG","OOP",5,12
"357","GGG","OOP",6,13
"358","GGG","OOP",7,4
"359","GGG","OOP",8,6
"360","GGG","OOP",9,2
"361","GGG","OOP",10,1
"362","GGG","OOP",11,1
"363","GGG","OOP",12,2
"364","GGG","OPP",0,1
"365","GGG","OPP",8,1
"366","GGG","OPP",9,1
"367","GGG","OPP",12,6
"368","GGG","OPP",13,1
"369","GGG","PBB",6,1
"370","GGG","PBB",11,3
"371","GGG","PGG",0,3
"372","GGG","PGG",1,1
"373","GGG","PGG",2,1
"374","GGG","POO",9,1
"375","GGG","POO",10,1
"376","GGG","POO",11,1
"377","GGG","POP",7,1
"378","GGG","PPB",6,1
"379","GGG","PPB",11,2
"380","GGG","PPB",13,1
"381","GGG","PPO",4,3
"382","GGG","PPO",12,3
"383","GGG","PPP",1,1
"384","GGG","PPP",2,2
"385","GGG","PPP",5,9
"386","GGG","PPP",6,2
"387","GGG","PPP",7,1
"388","GGG","PPP",8,1
"389","GGG","PPP",9,1
"390","GGG","PPP",10,5
"391","GGG","PPP",11,1
"392","GGG","PPP",12,1
"393","GGO","BBB",4,20
"394","GGO","BBB",5,7
"395","GGO","BBB",6,105
"396","GGO","BBB",7,1
"397","GGO","BBB",9,1
"398","GGO","BOB",0,10
"399","GGO","BOB",1,9
"400","GGO","BOB",2,4
"401","GGO","BOB",3,18
"402","GGO","BOB",4,10
"403","GGO","BOB",5,19
"404","GGO","BOB",6,24
"405","GGO","BOB",7,14
"406","GGO","BOB",8,3
"407","GGO","BOB",9,5
"408","GGO","BOB",10,11
"409","GGO","BOB",11,15
"410","GGO","BOB",12,10
"411","GGO","BOB",13,4
"412","GGO","GGG",0,2
"413","GGO","GGG",1,5
